Location ID,Depth Top,Depth Base,Geology Code
24,0.0,9.0,FILL
,9.0,58.0,MARINE CLAY DEPOSITS
,58.0,91.5,GLACIAL TILL
25,0.0,20.0,FILL
,20.0,7.5,MARINE SAND DEPOSITS
,7.5,71.5,MARINE CLAY DEPOSITS
,71.5,102.0,GLACIAL TILL
26,0.0,9.0,FILL
,9.0,12.0,ORGANIC DEPOSITS
,12.0,50.0,MARINE CLAY DEPOSITS
,50.0,104.0,GLACIAL TILL
,104.0,114.0,WEATHERED BEDROCK
27,0.0,20.0,FILL
,20.0,8.5,MARINE SAND DEPOSITS
,8.5,53.5,MARINE CLAY DEPOSITS
,53.5,70.0,GLACIOFLUVIAL (SAND) DEPOSITS
,70.0,101.0,GLACIAL TILL
,101.0,111.0,WEATHERED BEDROCK
